'Kembangan MRT Station', 'Clementi MRT Station', 'Serangoon MRT Station', 'Marymount MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Beauty World MRT Station', 'Eunos MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Beauty World MRT Station', 'Dakota MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Beauty World MRT Station', 'Marymount MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Eunos MRT Station', 'Somerset MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Eunos MRT Station', 'Dakota MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Eunos MRT Station', 'Marymount MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Somerset MRT Station', 'Dakota MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Somerset MRT Station', 'Marymount MRT Station'
'Kembangan MRT Station', 'Clementi MRT Station', 'Dakota MRT Station', 'Marymount MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Kovan MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Choa Chu Kang MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Pioneer MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Toa Payoh MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Yew Tee MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Chinese Garden MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Yio Chu Kang MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Serangoon MRT Station'
'Kembangan MRT Station', 'Bishan MRT Station', 'Woodlands MRT Station', 'Beauty World MRT Station'
