19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,35, Marymount MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station
26,37,Ang Mo Kio MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station
26,50, Ang Mo Kio MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
26,47, Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Eunos MRT Station
26,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station
27,35, Ang Mo Kio MRT Station,  Somerset MRT Station, Kembangan MRT Station
27,36, Ang Mo Kio MRT Station,  Dakota MRT Station, Kembangan MRT Station
27,38, Somerset MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station
27,39, Yio Chu Kang MRT Station,  Bishan MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,50, Yio Chu Kang MRT Station,  Marymount MRT Station,  Kovan MRT Station, Kembangan MRT Station
27,41, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
27,43, Ang Mo Kio MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,36, Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kembangan MRT Station
27,44, Ang Mo Kio MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,38, Yio Chu Kang MRT Station,  Marymount MRT Station,  Serangoon MRT Station, Kembangan MRT Station
27,40, Yio Chu Kang MRT Station,  Marymount MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,37, Marymount MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,39,Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Dakota MRT Station
27,41,Bishan MRT Station,  Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
27,41, Marymount MRT Station, Bishan MRT Station,  Kovan MRT Station,  Dakota MRT Station
27,44, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station
27,46, Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station
27,39,Kovan MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
27,48, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station,  Dakota MRT Station
27,45, Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Dakota MRT Station
27,47, Ang Mo Kio MRT Station, Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
27,43, Yio Chu Kang MRT Station,  Marymount MRT Station, Kovan MRT Station,  Eunos MRT Station
27,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Toa Payoh MRT Station,  Dakota MRT Station
