27,36,Somerset MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,42,Somerset MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,36, Ang Mo Kio MRT Station, Somerset MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,36,Somerset MRT Station,  Dakota MRT Station,  Clementi MRT Station,  Kembangan MRT Station
27,35, Sengkang MRT Station,  Dakota MRT Station, Jurong East MRT Station,  Eunos MRT Station
27,40,Jurong East MRT Station,  Dakota MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,36, Beauty World MRT Station,  Bishan MRT Station, Woodlands MRT Station,  Sengkang MRT Station
27,36, Serangoon MRT Station,  Eunos MRT Station, Woodlands MRT Station,  Sengkang MRT Station
27,43, Marymount MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,39, Marymount MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Buangkok MRT Station
27,41, Kovan MRT Station,  Toa Payoh MRT Station, Woodlands MRT Station,  Dakota MRT Station
27,41, Marymount MRT Station, Woodlands MRT Station,  Toa Payoh MRT Station,  Kovan MRT Station
27,42, Kovan MRT Station,  Toa Payoh MRT Station, Woodlands MRT Station,  Buangkok MRT Station
27,39, Marymount MRT Station,  Dakota MRT Station, Sengkang MRT Station,  Buangkok MRT Station
27,42,Sengkang MRT Station,  Bishan MRT Station,  Clementi MRT Station,  Kembangan MRT Station
27,39,Eunos MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Kembangan MRT Station
27,39,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Pioneer MRT Station,  Jurong East MRT Station,  Dakota MRT Station
27,36,Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Pioneer MRT Station,  Eunos MRT Station
27,48,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station,  Pioneer MRT Station,  Eunos MRT Station
27,41, Ang Mo Kio MRT Station, Yew Tee MRT Station,  Bishan MRT Station,  Pioneer MRT Station,  Eunos MRT Station
