Score,Route Travel Time,Number of pax served,Route,,,,
1.23,39,44,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.226666667,38,43,Clementi MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.226666667,38,43, Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.226666667,38,43, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.223333333,43,47, Yew Tee MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.223333333,43,47,Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.223333333,37,42,Clementi MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.22,30,36, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Somerset MRT Station,
1.22,36,41,Clementi MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station
1.22,36,41,Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station
1.22,36,41, Beauty World MRT Station, Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.22,42,46, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.22,42,46, Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.22,42,46, Yew Tee MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.216666667,29,35, Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,
1.216666667,35,40,Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,
1.216666667,35,40, Beauty World MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.216666667,41,45, Bukit Panjang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.216666667,41,45,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Somerset MRT Station
1.216666667,41,45,Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.216666667,41,45, Yew Tee MRT Station, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.216666667,41,45, Yew Tee MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.213333333,34,39, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.213333333,40,44, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Somerset MRT Station
1.213333333,40,44, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.213333333,40,44, Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.213333333,40,44, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.213333333,40,44, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station
1.213333333,40,44, Beauty World MRT Station,  Somerset MRT Station, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.21,39,43, Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.21,39,43, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.21,39,43, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.21,39,43, Yew Tee MRT Station, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.206666667,32,37, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,
1.206666667,32,37,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station,
1.206666667,32,37, Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,
1.206666667,38,42,Clementi MRT Station,  Beauty World MRT Station,  Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.206666667,38,42, Chinese Garden MRT Station,  Marymount MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.206666667,38,42, Jurong East MRT Station,  Marymount MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.206666667,38,42,Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.206666667,38,42, Yew Tee MRT Station, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.206666667,38,42, Beauty World MRT Station, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.206666667,38,42,Chinese Garden MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.203333333,31,36,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,
1.203333333,31,36, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station, Toa Payoh MRT Station,
1.203333333,37,41,Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.203333333,37,41, Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.203333333,43,46, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.203333333,43,46,Bukit Panjang MRT Station,  Beauty World MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station
1.2,30,35, Somerset MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,
1.2,42,45, Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.2,42,45, Yew Tee MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.2,42,45, Chinese Garden MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.2,36,40,Clementi MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.2,36,40,Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.196666667,41,44, Choa Chu Kang MRT Station,  Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.196666667,41,44, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.196666667,41,44, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.196666667,41,44, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.196666667,41,44, Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.196666667,41,44,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Toa Payoh MRT Station
1.196666667,41,44, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Ang Mo Kio MRT Station
1.193333333,34,38, Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,
1.193333333,34,38, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Somerset MRT Station
1.193333333,40,43, Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.193333333,40,43,Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Serangoon MRT Station
1.193333333,40,43, Yew Tee MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station
1.19,39,42,Clementi MRT Station,  Toa Payoh MRT Station,  Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.19,39,42, Choa Chu Kang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.19,39,42, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.19,39,42, Choa Chu Kang MRT Station,  Yew Tee MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.19,39,42, Yew Tee MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.19,39,42, Beauty World MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.19,39,42, Chinese Garden MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Toa Payoh MRT Station
1.19,39,42, Jurong East MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Toa Payoh MRT Station
1.19,39,42, Jurong East MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station
1.19,45,47, Beauty World MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.186666667,32,36, Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,
1.186666667,38,41, Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.186666667,38,41,Chinese Garden MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.186666667,38,41, Jurong East MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station
1.186666667,44,46, Yew Tee MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.183333333,31,35, Beauty World MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,
1.183333333,31,35, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Somerset MRT Station,
1.183333333,37,40, Chinese Garden MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.183333333,37,40, Jurong East MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.183333333,37,40, Chinese Garden MRT Station,  Beauty World MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.183333333,43,45, Yew Tee MRT Station,  Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station
1.183333333,43,45,Woodlands MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.183333333,43,45, Beauty World MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.183333333,43,45,Bukit Panjang MRT Station,  Beauty World MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Serangoon MRT Station
1.183333333,43,45, Jurong East MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.18,42,44, Bukit Panjang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.18,42,44, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Beauty World MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.18,42,44,Choa Chu Kang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.18,42,44, Yew Tee MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Ang Mo Kio MRT Station
1.18,36,39, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.18,36,39, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
